"lon_dd";"lat_dd"
-48,410084;-27,179734
-48,366507;-27,274929
-48,374322;-27,277575
-48,378526;-27,278526
-48,378571;-27,278811
-48,378454;-27,278847
-48,373473;-27,28337
-48,370781;-27,284332
-48,36988;-27,286418
-48,368059;-27,29055
-48,367972;-27,29084
-48,367596;-27,291298
-48,367555;-27,291441
-48,367171;-27,292219
-48,366825;-27,295054
-48,360993;-27,295573
-48,360189;-27,29715
-48,33098;-27,270964
-48,332385;-27,272989
